School ID,Institution me,Median Graduate Debt,Number of Undergraduates
808,Miami Dade College,9500,61684
809,University of Miami,21250,11246
812,Remington College-Tampa Campus,9500,189
815,Lincoln College of Technology-West Palm Beach,9504,738
818,University of North Florida,17479,14006
819,Northwood University-Florida,23474.5,609
820,Nova Southeastern University,26500,5053
821,Northwest Florida State College,4744,5549
822,Everest University-North Orlando,27500,714
824,Palm Beach Atlantic University,25000,2501
825,Palm Beach State College,7500,26106
827,Pensacola State College,4500,9026
829,Polk State College,9000,9443
831,Saint Vincent de Paul Regiol Semiry,,
833,Ringling College of Art and Design,27000,1253
836,Rollins College,27000,2608
838,Saint Leo University,26068,11993
839,St Petersburg College,17826,27166
841,Santa Fe College,12432,13764
843,Argosy University-Sarasota,14323,128
844,Seminole State College of Florida,11143,16567
846,Saint John Vianney College Semiry,,77
847,Saint Johns River State College,13000,5173
849,University of South Florida-Main Campus,19735,30376
850,St Thomas University,22747.5,1035
852,Stetson University,27000,2711
853,Southeastern University,24250,2633
857,Talmudic College of Florida,,32
858,Everest University-Tampa,28332,738
859,Everest University-Largo,10736,468
860,The University of Tampa,25975,6476
863,Trinity Baptist College,12000,289
864,Trinity College of Florida,23000,222
866,Valencia College,10500,34819
867,Warner University,24375,1023
869,Webber Intertiol University,20412.5,662
870,Rasmussen College-Florida,23203,5627
871,The University of West Florida,18334,9906
876,Abraham Baldwin Agricultural College,13500,3194
877,Agnes Scott College,27000,858
882,Albany State University,31750,3566
884,Armstrong Atlantic State University,20500,6206
885,The Art Institute of Atlanta,29771,2974
888,Point University,31250,1354
890,Atlanta's John Marshall Law School,12000,
892,Clark Atlanta University,31500,2629
895,Bauder College,21783.5,744
897,Berry College,23875,2122
898,Beulah Heights University,46688,554
899,Breu University,28956,1683
900,Brewton-Parker College,21500,543
902,College of Coastal Georgia,16950,2855
904,Carver Bible College,,103
905,Clayton State University,28117.5,6445
906,Columbia Theological Semiry,,
908,Columbus State University,24594,6849
910,Covent College,21950,1063
911,Dalton State College,13847,4852
913,South University-Savanh,27167,775
915,Emmanuel College,26502,709
916,Emory University,19500,7705
918,Fort Valley State University,35500,2805
920,Georgia Institute of Technology-Main Campus,22750,13975
921,Georgia Southwestern State University,20000,2598
922,Georgia College and State University,21304,5636
924,Georgia Southern University,21927,17103
925,Georgia State University,23000,24128
926,University of Georgia,18700,26120
927,Gordon State College,16300,4031
932,Interdenomitiol Theological Center,,
933,Kennesaw State University,22500,22211
934,LaGrange College,27000,854
936,Life University,8964,765
938,Herzing University-Atlanta,22822,391
939,Mercer University,26000,4304
940,Morehouse College,27000,2161
941,Morehouse School of Medicine,,
944,Oglethorpe University,27000,1020
945,Paine College,37909,921
946,Piedmont College,23224,1281
948,Reinhardt University,,1191
950,Savanh College of Art and Design,27000,8750
951,Savanh State University,32887,4462
952,Shorter University,27475,1518
955,Spelman College,27000,2129
956,Southern Polytechnic State University,26438,5636
958,Thomas University,20500,815
959,Toccoa Falls College,22750,817
960,Truett-McConnell College,20500,697
962,Valdosta State University,25245,9634
963,Wesleyan College,27025,530
964,University of West Georgia,23001,9777
965,Young Harris College,26000,1083
967,Chamide University of Honolulu,24082,1864
968,University of Hawaii at Hilo,19264,3335
969,University of Hawaii at Manoa,19509,14097
971,Hawaii Pacific University,25000,5386
976,University of Hawaii Maui College,13425,3553
978,World Medicine Institute,,
980,University of Hawaii-West Oahu,12500,2192
983,Boise Bible College,19000,183
984,Boise State University,24898,16557
986,Idaho State University,23660,9337
987,University of Idaho,25000,8539
988,The College of Idaho,26312.5,1086
989,Lewis-Clark State College,22231,3161
990,ITT Technical Institute-Boise,25833.5,251
994,Northwest zarene University,26050,1251
996,Brigham Young University-Idaho,11966.5,20208
998,Adler School of Professiol Psychology,,
1001,American Academy of Art,27000,406
1002,School of the Art Institute of Chicago,25000,2641
1003,Augusta College,27000,2504
1004,Aurora University,22500,3236
1007,Bethany Theological Semiry,,
1009,Blackburn College,24567.5,539
1010,Blessing Rieman College of Nursing,15995,243
1012,Bradley University,27000,4823
1023,Catholic Theological Union at Chicago,,
1025,Midwestern University-Downers Grove,,
1026,The Chicago School of Professiol Psychology at Chicago,,
1027,Chicago State University,27499,4321
1028,Chicago Theological Semiry,,
1029,University of Chicago,18625,5697
1037,Columbia College-Chicago,26000,9577
1038,Concordia University-Chicago,25000,1563
1043,DePaul University,24165.5,16120
1046,East-West University,24777,679
1047,Eastern Illinois University,23767,8255
1049,Elmhurst College,23250,2819
1050,Eureka College,25500,667
1053,Garrett-Evangelical Theological Semiry,,
1055,Governors State University,17000,3179
1057,Greenville College,24550,1101
1061,Harrington College of Design,37218,381
1062,Hebrew Theological College,,458
1064,Rosalind Franklin University of Medicine and Science,,
1065,University of Illinois at Chicago,18532.5,16601
1066,Benedictine University,21500,3739
1067,Illinois College of Optometry,4500,
1068,University of Illinois at Urba-Champaign,20950,31663
1069,Illinois Wesleyan University,27000,2000
1071,Illinois College,27000,981
1073,Illinois Institute of Technology,26981.5,2855
1074,Argosy University-Chicago,14323,293
1075,Illinois State University,22500,17667
1077,Institute for Clinical Social Work,,
1078,Intertiol Academy of Design and Technology-Chicago,42103,345
1080,The John Marshall Law School,,
1083,Judson University,25000,1020
1086,Kendall College,29167,1579
1088,Knox College,27000,1402
1091,Lake Forest College,27000,1577
1092,Lake Forest Graduate School of Magement,,
1094,Lakeview College of Nursing,18750,284
1096,Lewis University,25000,4489
1097,Lexington College,,55
1098,Lincoln Christian University,24163,613
1099,Lincoln College,12000,1163
1102,Loyola University Chicago,25751,9931
1103,Lutheran School of Theology at Chicago,,
1104,Trinity College of Nursing & Health Sciences,20000,191
1108,MacMurray College,29500,542
1109,McCormick Theological Semiry,,
1111,McKendree University,24250,2312
1112,Meadville Lombard Theological School,,
1113,Methodist College,30250,508
1114,Midstate College,33700,532
1115,Millikin University,27000,2122
1116,Monmouth College,27000,1247
1117,Moody Bible Institute,,3019
1122,tiol Louis University,19500,1393
1123,tiol University of Health Sciences,11334.5,87
1125,North Central College,25002,2700
1126,North Park University,25500,2190
1127,Northern Baptist Theological Semiry,,
1128,Northern Illinois University,23500,15782
1130,Northwestern University,19200,8855
1131,Northeastern Illinois University,15000,8827
1134,Olivet zarene University,25250,3325
1139,Quincy University,25000,1166
1141,The Illinois Institute of Art-Chicago,27666.5,2322
1144,Robert Morris University Illinois,24487,2775
1147,Rockford University,26500,963
1148,Roosevelt University,24673,3596
1149,Dominican University,25000,2020
1150,Rush University,21825,121
1151,Saint Francis Medical Center College of Nursing,17500,417
